MAG	category	KO	gene	copies
CAN_5_bin.112	Biotin biosynthesis	K00833	bioA	0
coasm_bin.260	Biotin biosynthesis	K00833	bioA	0
coasm_bin.481	Biotin biosynthesis	K00833	bioA	0
coasm_bin.55	Biotin biosynthesis	K01935	bioD	1
CAN_2_bin.6	Biotin biosynthesis	K01935	bioD	1
CAN_1_bin.210	Biotin biosynthesis	K01935	bioD	0
CAN_1_bin.77	Biotin biosynthesis	K01935	bioD	0
CAN_5_bin.112	Biotin biosynthesis	K01935	bioD	0
coasm_bin.260	Biotin biosynthesis	K01935	bioD	0
coasm_bin.481	Biotin biosynthesis	K01935	bioD	0
coasm_bin.55	Biotin biosynthesis	K00652	bioF	1
CAN_2_bin.6	Biotin biosynthesis	K00652	bioF	1
CAN_1_bin.210	Biotin biosynthesis	K00652	bioF	1
CAN_1_bin.77	Biotin biosynthesis	K00652	bioF	1
CAN_5_bin.112	Biotin biosynthesis	K00652	bioF	0
coasm_bin.260	Biotin biosynthesis	K00652	bioF	2
coasm_bin.481	Biotin biosynthesis	K00652	bioF	2
coasm_bin.55	Glycoside hydrolases	K01176	amyA	0
CAN_2_bin.6	Glycoside hydrolases	K01176	amyA	0
CAN_1_bin.210	Glycoside hydrolases	K01176	amyA	0
CAN_1_bin.77	Glycoside hydrolases	K01176	amyA	1
CAN_5_bin.112	Glycoside hydrolases	K01176	amyA	0
coasm_bin.260	Glycoside hydrolases	K01176	amyA	2
coasm_bin.481	Glycoside hydrolases	K01176	amyA	2
coasm_bin.55	Glycoside hydrolases	K01179	celA	0
CAN_2_bin.6	Glycoside hydrolases	K01179	celA	0
CAN_1_bin.210	Glycoside hydrolases	K01179	celA	0
CAN_1_bin.77	Glycoside hydrolases	K01179	celA	0
CAN_5_bin.112	Glycoside hydrolases	K01179	celA	1
coasm_bin.260	Glycoside hydrolases	K01179	celA	0
coasm_bin.481	Glycoside hydrolases	K01179	celA	1
coasm_bin.55	Glycoside hydrolases	K01188	bglX	0
CAN_2_bin.6	Glycoside hydrolases	K01188	bglX	0
CAN_1_bin.210	Glycoside hydrolases	K01188	bglX	0
CAN_1_bin.77	Glycoside hydrolases	K01188	bglX	0
CAN_5_bin.112	Glycoside hydrolases	K01188	bglX	0
coasm_bin.260	Glycoside hydrolases	K01188	bglX	0
coasm_bin.481	Glycoside hydrolases	K01188	bglX	0
coasm_bin.55	Glycoside hydrolases	K01198	xynB	0
CAN_2_bin.6	Glycoside hydrolases	K01198	xynB	0
CAN_1_bin.210	Glycoside hydrolases	K01198	xynB	0
CAN_1_bin.77	Glycoside hydrolases	K01198	xynB	0
CAN_5_bin.112	Glycoside hydrolases	K01198	xynB	1
coasm_bin.260	Glycoside hydrolases	K01198	xynB	0
coasm_bin.481	Glycoside hydrolases	K01198	xynB	0
coasm_bin.55	Glycoside hydrolases	K01185	lyz	1
CAN_2_bin.6	Glycoside hydrolases	K01185	lyz	0
CAN_1_bin.210	Glycoside hydrolases	K01185	lyz	1
CAN_1_bin.77	Glycoside hydrolases	K01185	lyz	0
CAN_5_bin.112	Glycoside hydrolases	K01185	lyz	0
coasm_bin.260	Glycoside hydrolases	K01185	lyz	0
coasm_bin.481	Glycoside hydrolases	K01185	lyz	0
coasm_bin.55	Glycoside hydrolases	K01183	chiA	0
CAN_2_bin.6	Glycoside hydrolases	K01183	chiA	0
CAN_1_bin.210	Glycoside hydrolases	K01183	chiA	0
CAN_1_bin.77	Glycoside hydrolases	K01183	chiA	0
CAN_5_bin.112	Glycoside hydrolases	K01183	chiA	1
coasm_bin.260	Glycoside hydrolases	K01183	chiA	0
coasm_bin.481	Glycoside hydrolases	K01183	chiA	0
