MAG	KO	gene	protein_id	score	score_type	threshold
coasm_bin.260	K01214	glgX	coasm_bin.260|FLKOMO_02763	1030.4	full	974.53
coasm_bin.260	K01214	glgX	coasm_bin.260|FLKOMO_04246	1047.8	full	974.53
coasm_bin.260	K01596	pckA(GTP)	coasm_bin.260|FLKOMO_03516	1076.9	full	129.60
coasm_bin.260	K01659	prpC/mcsA	coasm_bin.260|FLKOMO_01111	770.9	full	470.00
coasm_bin.260	K01659	prpC/mcsA	coasm_bin.260|FLKOMO_04636	499.9	full	470.00
coasm_bin.260	K01848	mcm-N	coasm_bin.260|FLKOMO_01440	952.2	domain	815.40
coasm_bin.260	K01848	mcm-N	coasm_bin.260|FLKOMO_02527	866.5	domain	815.40
coasm_bin.260	K01848	mcm-N	coasm_bin.260|FLKOMO_03234	959.7	domain	815.40
coasm_bin.260	K01895	acs	coasm_bin.260|FLKOMO_02184	994.6	domain	758.93
coasm_bin.260	K02036	pstB	coasm_bin.260|FLKOMO_02728	367.7	domain	268.67
coasm_bin.260	K02036	pstB	coasm_bin.260|FLKOMO_02729	442.4	domain	268.67
coasm_bin.260	K02036	pstB	coasm_bin.260|FLKOMO_03804	451.8	domain	268.67
coasm_bin.260	K02037	pstC	coasm_bin.260|FLKOMO_02726	369.4	domain	261.23
coasm_bin.260	K02037	pstC	coasm_bin.260|FLKOMO_03806	351.3	domain	261.23
coasm_bin.260	K02038	pstA	coasm_bin.260|FLKOMO_02727	338.3	domain	248.13
coasm_bin.260	K02038	pstA	coasm_bin.260|FLKOMO_03805	356.0	domain	248.13
coasm_bin.260	K02040	pstS	coasm_bin.260|FLKOMO_02725	283.0	domain	59.60
coasm_bin.260	K02040	pstS	coasm_bin.260|FLKOMO_03805	114.7	domain	59.60
coasm_bin.260	K02040	pstS	coasm_bin.260|FLKOMO_03807	273.5	domain	59.60
coasm_bin.260	K02040	pstS	coasm_bin.260|FLKOMO_04389	126.7	domain	59.60
coasm_bin.260	K07636	phoR	coasm_bin.260|FLKOMO_01531	345.3	domain	329.53
coasm_bin.260	K07636	phoR	coasm_bin.260|FLKOMO_02302	333.0	domain	329.53
coasm_bin.260	K07636	phoR	coasm_bin.260|FLKOMO_03809	350.1	domain	329.53
coasm_bin.260	K22468	ppk2	coasm_bin.260|FLKOMO_02039	429.5	domain	279.07
coasm_bin.260	K22468	ppk2	coasm_bin.260|FLKOMO_02570	476.4	domain	279.07
coasm_bin.481	K00134	gapA	coasm_bin.481|EGDGHF_02790	626.5	full	403.30
coasm_bin.481	K00626	phaA	coasm_bin.481|EGDGHF_00797	499.1	full	498.47
coasm_bin.481	K00626	phaA	coasm_bin.481|EGDGHF_02521	542.5	full	498.47
