reference,querry,ani,alignment_coverage,primary_cluster
CAN_1_bin.127.fa,CAN_3_bin.149.fa,0.9976999999999999,68.78,23
CAN_1_bin.127.fa,CAN_4_bin.238.fa,0.9992,96.57,23
CAN_3_bin.149.fa,CAN_4_bin.238.fa,0.9981,98.22,23
CAN_1_bin.127.fa,CAN_5_bin.21.fa,0.9987999999999999,96.44,23
CAN_3_bin.149.fa,CAN_5_bin.21.fa,0.9976,98.13,23
CAN_4_bin.238.fa,CAN_5_bin.21.fa,0.9997,99.83,23
CAN_1_bin.127.fa,coasm_bin.564.fa,0.9993000000000001,96.67,23
CAN_3_bin.149.fa,coasm_bin.564.fa,0.9981,98.25,23
CAN_4_bin.238.fa,coasm_bin.564.fa,0.9997,99.89,23
CAN_5_bin.21.fa,coasm_bin.564.fa,0.9997,96.99,23
CAN_1_bin.12.fa,CAN_1_bin.12.fa,1.0,100.0,189
CAN_2_bin.33.fa,CAN_1_bin.12.fa,0.9891,63.55,189
CAN_2_bin.33.fa,CAN_2_bin.33.fa,1.0,100.0,189
CAN_3_bin.208.fa,CAN_1_bin.12.fa,0.9912000000000001,59.97,189
CAN_3_bin.208.fa,CAN_2_bin.33.fa,0.991,58.95,189
CAN_3_bin.208.fa,CAN_3_bin.208.fa,1.0,100.0,189
coasm_bin.346.fa,CAN_1_bin.12.fa,0.9945,59.93,189
coasm_bin.346.fa,CAN_2_bin.33.fa,0.9963,58.04,189
coasm_bin.346.fa,CAN_3_bin.208.fa,0.9964,82.74,189
coasm_bin.346.fa,coasm_bin.346.fa,1.0,100.0,189
CAN_1_bin.12.fa,CAN_2_bin.33.fa,0.9891,57.62,189
CAN_1_bin.12.fa,CAN_3_bin.208.fa,0.9912000000000001,80.32,189
CAN_2_bin.33.fa,CAN_3_bin.208.fa,0.991,87.08,189
CAN_1_bin.12.fa,coasm_bin.346.fa,0.9945,87.31,189
CAN_2_bin.33.fa,coasm_bin.346.fa,0.9963,93.26,189
CAN_3_bin.208.fa,coasm_bin.346.fa,0.9964,90.0,189
CAN_1_bin.130.fa,CAN_1_bin.130.fa,1.0,100.0,124
CAN_2_bin.7.fa,CAN_1_bin.130.fa,0.9956999999999999,93.77,124
CAN_2_bin.7.fa,CAN_2_bin.7.fa,1.0,100.0,124
CAN_3_bin.10.fa,CAN_1_bin.130.fa,0.9942,92.66,124
CAN_3_bin.10.fa,CAN_2_bin.7.fa,0.9978,92.22,124
CAN_3_bin.10.fa,CAN_3_bin.10.fa,1.0,100.0,124
CAN_4_bin.137.fa,CAN_1_bin.130.fa,0.9901000000000001,90.21,124
CAN_4_bin.137.fa,CAN_2_bin.7.fa,0.9921,89.47,124
CAN_4_bin.137.fa,CAN_3_bin.10.fa,0.9921,92.97,124
CAN_4_bin.137.fa,CAN_4_bin.137.fa,1.0,100.0,124
coasm_bin.338.fa,CAN_1_bin.130.fa,0.9303,75.53,124
coasm_bin.338.fa,CAN_2_bin.7.fa,0.9290999999999999,76.92,124
coasm_bin.338.fa,CAN_3_bin.10.fa,0.9306,79.55,124
coasm_bin.338.fa,CAN_4_bin.137.fa,0.9309000000000001,73.79,124
coasm_bin.338.fa,coasm_bin.338.fa,1.0,100.0,124
CAN_1_bin.130.fa,CAN_2_bin.7.fa,0.9956999999999999,88.62,124
CAN_1_bin.130.fa,CAN_3_bin.10.fa,0.9942,91.13,124
CAN_2_bin.7.fa,CAN_3_bin.10.fa,0.9978,95.96,124
CAN_1_bin.130.fa,CAN_4_bin.137.fa,0.9901000000000001,86.41,124
CAN_2_bin.7.fa,CAN_4_bin.137.fa,0.9921,90.68,124
CAN_3_bin.10.fa,CAN_4_bin.137.fa,0.9921,90.56,124
CAN_1_bin.130.fa,coasm_bin.338.fa,0.9303,57.13,124
CAN_2_bin.7.fa,coasm_bin.338.fa,0.9290999999999999,61.56,124
CAN_3_bin.10.fa,coasm_bin.338.fa,0.9306,61.18,124
CAN_4_bin.137.fa,coasm_bin.338.fa,0.9309000000000001,58.27,124
CAN_1_bin.131.fa,CAN_1_bin.131.fa,1.0,100.0,264
coasm_bin.400.fa,CAN_1_bin.131.fa,0.9954999999999999,74.33,264
coasm_bin.400.fa,coasm_bin.400.fa,1.0,100.0,264
CAN_1_bin.131.fa,coasm_bin.400.fa,0.9954999999999999,88.28,264
CAN_1_bin.133.fa,CAN_1_bin.133.fa,1.0,100.0,252
CAN_4_bin.98.fa,CAN_1_bin.133.fa,0.9969,88.23,252
CAN_4_bin.98.fa,CAN_4_bin.98.fa,1.0,100.0,252
