MAG,old_mag_iterativeID,old_intersection_id,new_mag_iterativeID,assignment_case
coasm_bin.60,Blastopirellula.1,Blastopirellula.1_ma,Blastopirellula.1,asv_inherit
coasm_bin.61,midas_g_9628.1,midas_g_9628.1_ma,Chitinophagaceae.14,asv_inherit
coasm_bin.70,Cephaloticoccus.1,Cephaloticoccus.1_ma,Cephaloticoccus.1,asv_inherit
coasm_bin.74,JALNZU01_m.1,JALNZU01.1_m,Bacteroidales.2_m,gtdb_lowest
coasm_bin.75,midas_g_17587.1,midas_g_17587.1_ma,Xanthomonadaceae.3,asv_inherit
coasm_bin.82,UBA1573_m.3,UBA1573.3_m,Micavibrionaceae.3_m,gtdb_lowest
coasm_bin.84,Chlorobium.1,Chlorobium.1_ma,Chlorobium.1,asv_inherit
coasm_bin.85,Aquimonas_m.3,Aquimonas.3_m,Aquimonas.5,asv_inherit
coasm_bin.86,GCA-2702655_m.1,GCA-2702655.1_m,Lacipirellulaceae.1_m,gtdb_lowest
coasm_bin.88,Defluviicoccus_m.2,Defluviicoccus.2_m,Defluviicoccus.13,asv_inherit
coasm_bin.92,Ch132_m.1,Ch132.1_m,Anaerolineaceae.2_m,gtdb_lowest
coasm_bin.93,midas_g_4351.1,midas_g_4351.1_ma,Micropepsaceae.1,asv_inherit
