Data type: genbank_genome; Columns: 9; Version: 1,,,,,,,,
staging_file_subdir_path,genome_name,source,release,genetic_code,scientific_name,genome_type,generate_ids_if_needed,generate_missing_genes
GenBank File Path,Genome Object Name,Source,Release,Genetic Code,Scientific Name,Genome Type,Generate IDs if Needed,Generate Missing Genes
bakta/coasm_bin.383.gbff,coasm_bin.383_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.385.gbff,coasm_bin.385_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.386.gbff,coasm_bin.386_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.388.gbff,coasm_bin.388_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.389.gbff,coasm_bin.389_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.392.gbff,coasm_bin.392_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.393.gbff,coasm_bin.393_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.394.gbff,coasm_bin.394_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.395.gbff,coasm_bin.395_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.399.gbff,coasm_bin.399_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.40.gbff,coasm_bin.40_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.400.gbff,coasm_bin.400_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.407.gbff,coasm_bin.407_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.409.gbff,coasm_bin.409_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.41.gbff,coasm_bin.41_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.411.gbff,coasm_bin.411_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.414.gbff,coasm_bin.414_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.417.gbff,coasm_bin.417_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.420.gbff,coasm_bin.420_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.423.gbff,coasm_bin.423_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.425.gbff,coasm_bin.425_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.426.gbff,coasm_bin.426_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.437.gbff,coasm_bin.437_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.441.gbff,coasm_bin.441_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.447.gbff,coasm_bin.447_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.448.gbff,coasm_bin.448_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.449.gbff,coasm_bin.449_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.466.gbff,coasm_bin.466_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.468.gbff,coasm_bin.468_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.469.gbff,coasm_bin.469_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.47.gbff,coasm_bin.47_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.471.gbff,coasm_bin.471_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.473.gbff,coasm_bin.473_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.476.gbff,coasm_bin.476_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.479.gbff,coasm_bin.479_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.481.gbff,coasm_bin.481_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.482.gbff,coasm_bin.482_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.484.gbff,coasm_bin.484_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.485.gbff,coasm_bin.485_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.489.gbff,coasm_bin.489_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.492.gbff,coasm_bin.492_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.495.gbff,coasm_bin.495_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.496.gbff,coasm_bin.496_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.497.gbff,coasm_bin.497_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.499.gbff,coasm_bin.499_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.502.gbff,coasm_bin.502_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.51.gbff,coasm_bin.51_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.512.gbff,coasm_bin.512_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.514.gbff,coasm_bin.514_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.518.gbff,coasm_bin.518_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.519.gbff,coasm_bin.519_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.521.gbff,coasm_bin.521_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.529.gbff,coasm_bin.529_bakta,Other,,11,unclassified bacterium,MAG,1,1
