parameter,ASV,rho,p_value,q_value,n,abs_rho
A_time [minutes],Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.6,0.7883018549543696,4.6924602779067536e-17,1.2228269230975202e-14,75,0.7883018549543696
A_time [minutes],Hydrogenophaga.6,0.7883018549543696,4.6924602779067536e-17,1.2228269230975202e-14,75,0.7883018549543696
Ax_time [minutes],Luteimonas.7,-0.786743946150112,5.951633616429498e-17,1.5279827371246662e-14,75,0.786743946150112
A_time [minutes],Luteimonas.7,0.786743946150112,5.951633616429498e-17,1.5279827371246662e-14,75,0.786743946150112
Ax_time [minutes],Propionivibrio.1,-0.7865532201365565,6.126545202576415e-17,1.5499264976357375e-14,75,0.7865532201365565
A_time [minutes],Propionivibrio.1,0.7865532201365565,6.126545202576415e-17,1.5499264976357375e-14,75,0.7865532201365565
Ax_time [minutes],Ca_Falkowbacteria.7,0.7814564260601721,1.314321161164635e-16,3.2771983543025245e-14,75,0.7814564260601721
A_time [minutes],Ca_Falkowbacteria.7,-0.7814564260601721,1.314321161164635e-16,3.2771983543025245e-14,75,0.7814564260601721
Ax_time [minutes],Aminobacter.3,-0.7805123109330815,1.510545679955337e-16,3.713049838409363e-14,75,0.7805123109330815
A_time [minutes],Aminobacter.3,0.7805123109330815,1.510545679955337e-16,3.713049838409363e-14,75,0.7805123109330815
Ax_time [minutes],Inhella.3,-0.7796130446647636,1.7235309268215594e-16,4.1773327547348554e-14,75,0.7796130446647636
A_time [minutes],Inhella.3,0.7796130446647636,1.7235309268215594e-16,4.1773327547348554e-14,75,0.7796130446647636
Ax_time [minutes],Paracoccus.9,-0.7794530741458567,1.764336697337057e-16,4.2172514202072464e-14,75,0.7794530741458567
A_time [minutes],Paracoccus.9,0.7794530741458567,1.764336697337057e-16,4.2172514202072464e-14,75,0.7794530741458567
Ax_time [minutes],Phycisphaeraceae.28,-0.7792758440963015,1.8106329745600824e-16,4.2690291336923746e-14,75,0.7792758440963015
A_time [minutes],Phycisphaeraceae.28,0.7792758440963015,1.8106329745600824e-16,4.2690291336923746e-14,75,0.7792758440963015
Ax_time [minutes],Gracilibacteria.30,0.7790532657095751,1.8704366991676123e-16,4.350836614526864e-14,75,0.7790532657095751
A_time [minutes],Gracilibacteria.30,-0.7790532657095751,1.8704366991676123e-16,4.350836614526864e-14,75,0.7790532657095751
Ax_time [minutes],Bacteria.87,-0.7727227669117931,4.641130306410933e-16,1.0513525182346177e-13,75,0.7727227669117931
Ax_time [minutes],Planctomycetales.1,-0.7727227669117931,4.641130306410933e-16,1.0513525182346177e-13,75,0.7727227669117931
A_time [minutes],Bacteria.87,0.7727227669117931,4.641130306410933e-16,1.0513525182346177e-13,75,0.7727227669117931
A_time [minutes],Planctomycetales.1,0.7727227669117931,4.641130306410933e-16,1.0513525182346177e-13,75,0.7727227669117931
