parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed,rho_partial,p_partial,n_partial,q_partial,time_robust
Ax_time [minutes],Thauera.30,-0.8451591463428099,1.5157359997158845e-21,75,-0.8451591463428099,1.5157359997158845e-21,75,2.4360311012039226e-18,1.6377355378922348e-18,True,-0.5337338054969991,8.184083035311255e-07,75,3.749451995247249e-05,True
Ax_time [minutes],Edaphobaculum.2,-0.8412707542991296,3.485528172984222e-21,75,-0.8412707542991296,3.485528172984222e-21,75,4.522172327880392e-18,3.1236307621092322e-18,True,-0.5357190417126183,7.317395621933003e-07,75,3.603817343802004e-05,True
Ax_time [minutes],Flavobacterium.28,-0.8412707542991296,3.485528172984222e-21,75,-0.8412707542991296,3.485528172984222e-21,75,4.522172327880392e-18,3.1236307621092322e-18,True,-0.5358830944887515,7.249789311293326e-07,75,3.603817343802004e-05,True
Ax_time [minutes],AAP99.2,-0.8403674124226459,4.215965767550849e-21,75,-0.8403674124226459,4.215965767550849e-21,75,5.116958451745184e-18,3.5739995206756744e-18,True,-0.51330885458895,2.4865036136915686e-06,75,8.030183801594082e-05,True
Ax_time [minutes],Gemmobacter.1,-0.8387143899093898,5.9536003191507275e-21,75,-0.8387143899093898,5.9536003191507275e-21,75,6.788006424486247e-18,4.7882212207815825e-18,True,-0.5054620294159007,3.739561043078223e-06,75,0.00010231854520644582,True
Ax_time [minutes],Stenotrophomonas.2,-0.8359055790470857,1.0607990688840734e-20,75,-0.8359055790470857,1.0607990688840734e-20,75,1.140358999050379e-17,8.115371608443377e-18,True,-0.5041805051337184,3.993465404529991e-06,75,0.00010631252495843356,True
Ax_time [minutes],Cloacibacterium.2,-0.8341312511667157,1.5194157622494023e-20,75,-0.8341312511667157,1.5194157622494023e-20,75,1.5450815690441557e-17,1.108325460435227e-17,True,-0.5081319364006223,3.2584465556970844e-06,75,9.303101035830807e-05,True
Ax_time [minutes],midas_g_225.1,-0.8328210566151775,1.9757273095965628e-20,75,-0.8328210566151775,1.9757273095965628e-20,75,1.8130912200870897e-17,1.3185247402724636e-17,True,-0.4934608616143734,6.847425665311524e-06,75,0.00014662422348547504,True
Ax_time [minutes],Comamonadaceae.8,-0.8328210566151775,1.9757273095965628e-20,75,-0.8328210566151775,1.9757273095965628e-20,75,1.8130912200870897e-17,1.3185247402724636e-17,True,-0.4947580350550272,6.42108479835467e-06,75,0.00013908027492233046,True
Ax_time [minutes],Chryseobacterium.6,-0.8319233014735837,2.362152838339872e-20,75,-0.8319233014735837,2.362152838339872e-20,75,1.9750222342786148e-17,1.4527703123013417e-17,True,-0.5124477838532944,2.601677860976114e-06,75,8.098347481205203e-05,True
Ax_time [minutes],Leadbetterella.14,-0.8319233014735837,2.362152838339872e-20,75,-0.8319233014735837,2.362152838339872e-20,75,1.9750222342786148e-17,1.4527703123013417e-17,True,-0.5127484622296783,2.560902114110638e-06,75,8.098347481205203e-05,True
Ax_time [minutes],Pannonibacter.1,-0.8303653926693261,3.2126152108602234e-20,75,-0.8303653926693261,3.2126152108602234e-20,75,2.5718010065662954e-17,1.9012620510158818e-17,True,-0.5155659391703846,2.2069263097033775e-06,75,7.579240365770556e-05,True
Ax_time [minutes],Chryseobacterium.9,-0.8290040761940045,4.1923056293282044e-20,75,-0.8290040761940045,4.1923056293282044e-20,75,3.219091822519871e-17,2.3908337885365168e-17,True,-0.5781195740004201,5.5901186391936536e-08,75,6.139719434931031e-06,True
Ax_time [minutes],Brevundimonas.12,-0.8272495750608108,5.887661409595548e-20,75,-0.8272495750608108,5.887661409595548e-20,75,4.343593343843775e-17,3.239866452164456e-17,True,-0.4968449226284922,5.786990472047174e-06,75,0.0001341220144697992,True
Ax_time [minutes],SM1A02.12,-0.8251097505354075,8.86333094308909e-20,75,-0.8251097505354075,8.86333094308909e-20,75,6.292128806296734e-17,4.7119870908632603e-17,True,-0.47193898220712655,1.916637437108722e-05,75,0.0003371228349200163,True
Ax_time [minutes],Sphingosinicella.1,-0.8241337574522956,1.0661754587486712e-19,75,-0.8241337574522956,1.0661754587486712e-19,75,7.293609388257955e-17,5.4822392523132486e-17,True,-0.49632662328192567,5.938753762693651e-06,75,0.00013513917373274146,True
